word,1,2,3,4,5
un,1.655273,1.125044,-0.988399,-2.267361,-1.94779
nombre,1.192823,1.672452,-0.060608,-0.964959,-1.183713
$\mathbb{N}$,0.930151,0.792961,-0.714242,-1.570237,-1.839397
deux,1.765796,0.724289,-1.039139,-1.779559,-1.142846
fonction,0.353376,1.527378,0.485676,-1.127252,-1.475142
premier,0.854163,0.548011,-1.584467,-2.14719,-0.68191
ensemble,1.237223,0.806292,-0.497316,-0.946415,-1.300681
point,1.142699,1.515518,-1.067788,-0.641731,-0.697606
théorie,-0.560068,0.389833,0.600574,-0.163572,-2.203576
exemple,1.136211,1.278079,-0.125075,-0.511415,-2.055005
espace,1.563645,1.270633,0.025015,-0.203121,-1.294843
théorème,-0.446459,-0.051903,1.527383,1.16885,-1.824449
problème,-0.195386,1.410986,-0.096011,-0.748604,-2.26538
valeur,0.78267,1.830462,0.432003,-0.5821,-1.958623
groupe,0.200001,1.134936,-1.861321,-0.91649,-0.851989
graphe,0.588532,0.244188,1.614164,1.779827,-1.031755
forme,1.986861,0.85663,0.104503,-0.519645,-1.994588
entier,1.024305,1.042448,0.020202,-0.447061,-1.480616
système,0.627606,2.690412,-0.113853,-0.383537,-1.639693
équation,-0.017454,0.650347,1.145251,1.202681,-2.143635
suite,0.265231,0.712755,-0.978842,-1.809941,-1.121459
algorithme,-0.617384,1.142628,0.816466,1.391041,-1.980693
calcul,0.074187,1.67614,0.792572,0.528283,-1.958499
application,-0.079157,2.50004,-0.291361,0.204494,-1.471007
élément,1.529031,1.096787,0.176638,-0.409075,-2.130957
grand,1.772306,0.27768,-1.019723,-2.120238,-0.87032
propriété,1.113565,0.807099,0.722033,-0.786891,-1.279078
ordre,0.560134,0.226746,0.111913,-2.169492,-0.601854
variable,0.950254,2.059964,0.183813,1.025711,-2.018726
base,1.426026,1.685744,-0.297626,-0.466653,-0.996152
géométrie,0.259045,0.189089,1.34193,1.130724,-1.453947
analyse,-0.034689,0.833102,-0.029363,-0.250769,-1.917987
loi,-0.405693,1.13193,0.049595,-1.790861,-1.065164
définition,0.269847,1.499058,0.66011,0.049917,-2.087081
réel,0.15087,1.236806,-0.318514,-0.324657,-2.655706
dimension,1.176481,1.082071,-0.195272,0.542599,-1.976574
statistique,-0.514348,1.923057,-0.926698,-0.741167,0.334955
sommet,1.880987,1.016258,0.060865,-0.403942,-0.320576
logique,-0.574826,0.719258,0.859709,0.267821,-2.063777
terme,0.449942,1.283799,0.128546,-1.229737,-1.693708
trois,1.601489,0.563202,-1.063836,-1.71453,-0.838171
plan,1.326488,1.015494,-0.219111,-1.166524,-1.142873
formule,0.014396,1.116795,-0.417693,0.269471,-1.056692
droite,1.442982,0.363632,0.522976,-1.096904,-0.939643
$\mathbb{C}$,1.006439,0.941442,-0.68644,-0.457372,-0.660122
solution,-0.063602,2.125556,0.051637,0.22669,-2.045829
modèle,0.914751,1.354605,-0.477999,-0.094499,-1.267847
linéaire,0.800954,1.579515,0.672906,1.269378,-1.993715
probabilité,-0.34106,1.414183,0.878068,0.815644,-2.071376
série,0.40513,-0.118282,-3.171777,-0.002818,-1.137798
somme,1.023944,1.047329,0.429099,-1.06112,-0.582899
mesure,0.994901,1.869686,0.031592,-0.755468,-1.282431
carré,2.694798,0.183703,0.138834,0.260409,-0.834704
vecteur,0.590241,1.808392,1.042435,1.465678,-2.000044
connexe,1.090305,0.7221,-0.876605,-0.831214,0.623296
classe,0.559755,1.004514,-0.656887,-0.896906,-0.298466
produit,0.889927,1.978137,-0.706527,0.012608,-1.780224
égal,0.818234,1.872277,0.340155,0.118117,-1.280908
cercle,1.087673,0.125398,0.285615,-0.684544,-0.511995
partie,1.722866,0.844339,-0.654847,-1.846435,-0.704119
relation,-0.450124,0.695154,-0.309086,-1.482671,-1.526636
courbe,1.551321,0.864646,1.189962,1.100213,-1.485028
différent,1.290578,1.603755,-0.468734,-1.154558,-1.964111
complexe,1.256249,1.397318,0.207123,-0.192406,-1.605948
matrice,0.65601,1.323873,0.77889,1.654552,-1.769984
domaine,0.894097,0.938433,0.276914,-1.72564,-0.982085
fois,0.808453,0.597033,-1.175531,-1.682885,-1.25904
type,1.786948,1.940931,-0.403852,0.249159,-1.187037
mot,0.889446,0.144456,0.028255,-0.182404,-1.84125
algébrique,0.2444,0.584453,1.341291,1.593984,-2.067967
degré,1.064223,-0.490727,-0.369999,-0.620975,0.64226
langage,-0.163904,0.788503,0.172305,0.57463,-1.95455
nul,-0.018702,1.769671,-0.257486,-0.309217,-0.716312
moins,1.45889,1.638785,-0.426012,-1.432936,-1.674001
objet,1.442365,0.769345,-0.22003,-0.67748,-1.959559
triangle,1.104375,0.395228,0.24004,1.280524,-0.52326
structure,1.187343,1.769684,0.129077,-0.237611,-1.425689
corps,1.291643,0.415308,-0.15843,-1.022435,-1.560711
rapport,0.630746,1.870289,-0.18393,-1.151279,-1.336953
longueur,2.606182,1.791095,-0.229005,0.498223,-0.449077
informatique,-0.628393,2.094786,-0.100528,-0.032675,-1.000504
infini,0.503674,0.360397,0.527575,1.156148,-2.268924
variété,1.278013,0.034248,0.079013,0.6821,-1.06604
ligne,2.046631,1.190187,-0.844393,-1.126983,0.539704
positif,-0.030294,1.359102,-0.340535,0.033987,-1.939958
angle,2.297523,0.62644,0.339203,0.447325,-1.068814
polynôme,0.047506,0.348606,1.256326,1.968126,-1.761617
centre,1.262817,1.363931,-0.668743,-1.64215,0.371316
démonstration,-0.151951,0.748211,0.410319,0.230545,-1.714457
vectoriel,0.878696,1.119669,1.081021,2.205534,-2.124111
limite,1.486969,1.528312,0.500626,-0.953248,-0.941196
représentation,0.950892,0.32967,0.138474,-0.755446,-1.451243
famille,0.772263,-0.917017,-0.496027,-2.150011,-0.443487
arête,2.238426,0.664662,0.998283,1.205777,-0.633656
distance,1.272687,1.988826,-0.378589,0.105213,-1.065148
surface,2.503924,2.103193,-0.013522,0.46532,-1.281663
aléatoire,-0.126741,1.58866,0.623289,0.919355,-2.282375
naturel,2.036356,1.282669,0.55278,-1.032468,-0.838924
normal,0.59361,1.09587,-0.051217,-0.155017,-1.085353
arbre,2.323372,0.425379,0.220513,0.01947,-1.415062
démontrer,-0.378557,0.691621,0.638272,-0.370473,-2.306091
algèbre,0.211577,0.409106,1.511373,1.717873,-1.63032
règle,-0.012073,1.366188,0.404562,-1.029249,-1.850605
volume,1.249239,0.176492,-1.514129,0.593782,0.468916
calculer,0.417978,2.158206,0.490366,0.801781,-1.629717
constant,0.5615,0.328659,0.43921,-0.11123,-1.334605
quatre,1.698334,0.706545,-1.170547,-1.465673,-0.556396
différentiel,0.069237,1.183677,0.979999,1.269655,-1.689384
hypothèse,0.107707,0.348089,0.852958,-0.577302,-2.318715
image,0.903503,0.291748,-1.035856,-0.013719,-1.687055
régulier,0.743808,1.428202,-0.593649,-0.481821,-0.557735
complet,0.605659,0.606082,-0.645993,-0.562269,-0.818421
racine,1.359528,-0.390504,0.377681,-0.044819,-1.37247
coefficient,-0.03448,2.032445,0.60008,1.360033,-1.330717
côté,1.389847,-0.20942,-0.890093,-1.284413,-1.303396
preuve,-0.473571,0.20391,0.377407,-1.124582,-2.568265
axiome,-0.650541,0.811976,1.84725,1.288782,-1.555267
$\mathbb{R}$,0.670854,0.717212,-1.613847,1.220406,0.18401
continue,0.338674,0.620546,-0.469519,-1.05758,-1.224359
résoudre,-0.40467,0.668166,0.46438,-0.780224,-2.385161
arithmétique,-0.232427,0.579293,1.768822,1.380902,-1.59626
conjecture,-1.127825,-0.291466,1.09703,1.500785,-1.408419
réseau,0.980908,2.473722,-0.434435,-0.736898,-0.354978
opération,0.026485,1.697535,-0.501497,-1.171977,-0.944281
chiffre,1.05018,1.922814,0.115843,-0.289791,-0.524997
expression,0.148442,0.459432,0.108422,-0.395371,-2.159426
propre,0.580195,0.782045,-0.485482,-1.395388,-2.10701
principal,0.892107,0.692163,-1.275864,-1.430656,-0.821469
paramètre,0.564395,2.357038,0.770638,0.991058,-2.03292
coordonnée,1.033831,1.4425,1.012417,1.322946,-0.519411
opérateur,-0.353879,1.218291,-0.194828,0.119365,-0.935116
numérique,0.331325,1.722655,-0.638324,0.063287,-1.168294
unité,0.775445,2.01443,-0.170565,-1.142913,-0.279138
liste,1.384519,0.75563,-1.35389,-1.354063,0.587809
convexe,1.223121,0.99265,1.66405,1.906015,-1.566776
rationnel,-0.391459,0.734418,1.327801,0.580441,-2.414102
nœud,1.779607,1.705085,0.290207,0.896684,-0.642492
