word,1,2,3,4,5
un,-0.457343,1.15226,-4.330106,-2.140361,1.51369
nombre,1.017081,1.968013,-3.992539,-0.373111,1.282299
$\mathbb{N}$,0.247114,1.512907,-4.443411,-0.832561,0.97544
deux,0.488671,1.600769,-4.18669,-1.09434,1.1803
fonction,-1.878583,1.311343,-4.14584,-0.741128,0.879117
premier,0.702351,1.717388,-3.228362,-1.294588,2.213099
ensemble,-0.942684,1.41387,-4.178924,-0.590926,0.963188
point,-0.256703,1.750496,-4.180491,-0.060113,0.580029
théorie,-1.937068,0.614529,-2.403864,-1.999624,2.350645
exemple,-0.446005,1.090904,-3.928317,-1.270767,1.018284
espace,-2.342646,1.532417,-3.917254,0.073852,0.849208
théorème,-1.898986,0.584695,-2.500433,-1.198278,1.322397
problème,-0.958328,0.607915,-3.068897,-1.781085,1.290227
valeur,0.009109,1.099181,-4.404352,-0.913931,0.285269
groupe,-1.515157,1.62712,-2.962055,-0.182035,1.411494
graphe,-0.417416,1.471217,-2.52466,0.522251,0.218386
forme,-1.268779,1.35038,-3.691241,-0.633992,0.890306
entier,0.175455,1.954144,-4.063527,0.055742,1.096251
système,-1.03596,0.429721,-2.939682,-1.950158,1.014915
équation,-1.560424,0.853557,-2.968845,-0.964849,1.131257
suite,-0.492751,1.342343,-3.507725,-0.345132,0.900839
algorithme,-1.309102,0.088992,-2.506857,-1.652967,0.647961
calcul,-0.76852,0.537151,-2.876217,-1.975808,1.434985
application,-2.124854,1.604735,-2.721486,-0.483921,2.168698
élément,-0.238057,1.655501,-3.641893,-0.20498,0.926458
grand,0.933061,0.80416,-2.759825,-2.106547,1.503015
propriété,-1.126973,1.06887,-3.731029,-0.733742,0.720444
ordre,-0.192342,1.305865,-3.226218,-0.581657,1.162504
variable,-1.316997,0.810942,-3.583485,-0.892627,0.409832
base,-0.364464,1.394664,-3.362671,-0.564883,0.87045
géométrie,-1.532217,0.881373,-2.063876,-1.337143,1.943349
analyse,-1.965852,0.514737,-2.082095,-2.207471,2.125739
loi,-1.524763,0.68885,-2.898536,-0.889611,0.472728
définition,-1.31954,0.98076,-3.659034,-0.992794,0.878507
réel,-1.206909,1.303094,-4.152726,-0.242837,0.559674
dimension,-1.170551,1.657465,-3.335373,0.057729,0.942512
statistique,-1.108362,0.306677,-1.224733,-2.551668,2.335519
sommet,1.339011,1.952314,-3.604288,0.477749,0.273211
logique,-1.951536,0.217807,-1.947651,-1.730945,1.422871
terme,-0.291946,0.820425,-3.535403,-1.199698,0.594221
trois,0.956926,1.564259,-3.260506,-0.965157,1.328846
plan,-0.559258,1.502169,-3.248644,-0.077345,0.41645
formule,-1.32904,0.60248,-3.201447,-0.856237,0.496955
