word,1,2,3,4,5
un,2.46327,1.452458,-0.003993,0.151084,-2.426272
nombre,2.307173,1.404576,0.176886,-0.487651,-1.000399
$\mathbb{N}$,1.907187,1.033296,-0.441946,-0.010407,-1.867654
deux,1.829449,1.018487,0.54269,0.169011,-2.106826
fonction,1.710911,1.620262,-0.809387,-0.49891,-0.732571
premier,0.940768,0.934328,0.416648,-0.537617,-2.539286
ensemble,1.82877,0.871428,0.270934,0.031982,-1.325602
point,1.849611,0.430527,0.733048,-0.750268,-1.08522
théorie,1.146892,0.383742,-2.167997,0.091254,-0.348339
exemple,2.421613,0.631362,-0.636704,0.210583,-0.850211
espace,2.137894,0.786998,0.345733,0.203199,-0.613539
théorème,0.65521,-0.460369,-2.003916,0.53721,1.732008
problème,2.18274,0.727493,-1.590712,-0.503993,-0.96218
valeur,2.463956,1.059759,-0.801196,-0.199217,-0.331146
groupe,1.250676,-0.107262,0.126577,-1.19431,-1.867837
graphe,1.550922,-0.051212,-0.409614,0.519126,2.428966
forme,2.636316,0.728107,-0.02061,0.971913,-0.813433
entier,1.858005,0.717488,-0.091712,0.300387,-0.864509
système,2.868216,0.74797,-0.54042,-1.01522,-0.051694
équation,1.522637,-0.519667,-1.905432,0.618493,1.46675
suite,0.969528,0.920655,-0.380263,-0.547363,-2.017407
algorithme,2.007444,-0.673147,-1.392753,-0.214253,1.42467
calcul,2.424458,0.308734,-1.119433,-0.507783,0.851208
application,2.534142,0.433002,-0.801404,-1.512115,0.129957
élément,2.479576,0.803235,-0.409546,0.769601,-0.5828
grand,1.224611,1.305536,0.749807,0.252399,-2.197418
propriété,1.539267,1.408175,-0.255162,0.473389,-0.276377
ordre,0.389344,1.879303,-0.183784,0.220968,-1.539646
variable,3.0645,-0.039309,-0.27761,-0.124489,0.617439
base,2.285853,0.786271,0.496196,-0.303842,-0.541924
géométrie,1.523521,-0.054047,-1.040819,1.025415,1.496743
analyse,1.555532,0.218804,-1.402237,-0.157322,-0.502911
loi,0.940881,1.58226,-1.199003,-0.914861,-0.995035
définition,2.106096,0.66069,-1.317471,-0.210214,0.182941
réel,2.308309,0.228561,-1.483681,-0.143167,-1.180552
dimension,2.383609,-0.263221,-0.254714,0.279988,-0.365191
statistique,0.594743,0.33232,0.424204,-2.289542,-0.493699
sommet,1.594981,0.942482,1.40957,0.475059,-0.438493
