word,1,2,3,4,5,6
un,3.466729,0.107481,1.148318,-0.094859,-0.499846,1.01416
nombre,2.136314,0.494822,1.391218,-0.273413,-0.048156,-0.245395
$\mathbb{N}$,2.521573,-0.051513,1.124938,0.059763,-0.8601,0.660707
deux,3.009362,0.648833,0.353025,0.113724,-0.565289,0.816476
fonction,1.653832,-0.610984,1.826649,-0.620062,0.285813,-0.194445
premier,2.298477,0.655413,0.276458,-0.468322,-0.518473,1.614797
ensemble,2.04928,0.018041,1.214381,0.323858,0.493042,0.367358
point,1.936991,1.435674,0.87002,0.082969,-0.385576,0.193833
théorie,0.534446,-1.911792,2.353768,0.299534,0.790517,0.547187
exemple,2.054021,-0.292475,1.89144,0.581081,0.303163,0.017354
espace,1.933418,0.00338,1.486046,0.563492,1.293781,-0.182319
théorème,-0.517669,-1.799311,1.402367,0.872209,0.191634,-1.204065
problème,1.482719,-0.519577,2.43614,-0.079061,-0.462565,0.16779
valeur,1.901035,-0.418946,2.42019,-0.019894,0.406946,-0.453804
groupe,1.224133,0.997017,1.32516,-0.042135,-0.463528,1.519358
graphe,-0.033167,-0.440236,0.664472,1.602763,0.401689,-2.341818
forme,2.608004,-0.356174,1.273557,1.015609,0.436545,-0.288959
entier,1.753021,-0.10391,1.303115,0.438214,0.258284,-0.271919
système,1.811783,0.572804,2.78289,-0.183767,0.362606,-0.274951
équation,0.151863,-1.279075,2.107051,1.223897,0.592229,-1.321167
suite,1.860553,0.153973,0.740782,-0.562833,-0.906598,1.100075
algorithme,-0.213941,-0.566422,2.460559,0.886926,-0.189225,-1.227095
calcul,0.732412,-0.396404,2.612113,0.476746,0.697917,-0.872893
application,0.800247,0.234064,3.139761,-0.238013,1.021156,-0.056546
élément,2.262265,-0.484011,1.73041,0.783211,0.592644,-0.245488
grand,2.833877,0.229081,-0.019369,-0.212209,-0.007308,1.121133
propriété,1.776811,-0.658968,1.13196,-0.057539,0.803211,-0.51294
ordre,2.060472,-0.663931,0.120736,-0.958682,-0.239365,0.631486
variable,1.331734,0.401839,2.398326,1.078908,0.611007,-1.072478
base,2.042461,0.703091,1.450182,0.035872,0.752401,-0.163488
géométrie,0.231061,-1.283912,1.836936,1.045104,1.739138,-0.923696
analyse,1.026389,-1.081836,2.356106,0.339446,1.069462,0.749534
loi,1.271916,-0.689952,1.596026,-1.312214,-0.211889,0.785941
définition,1.131645,-0.839402,2.746463,0.223929,1.064798,-0.35803
réel,1.535534,-0.618301,2.511851,0.80289,-0.280674,0.328319
dimension,1.354369,0.009216,1.853324,1.285692,0.718728,-0.26003
statistique,0.38732,1.460861,1.077425,-1.290156,-0.012811,0.682157
sommet,2.148828,1.017671,-0.096301,0.397076,-0.046317,-0.800547
logique,0.326675,-1.604839,2.530689,0.288309,0.755762,-0.065529
terme,1.884981,-0.477265,1.706206,-0.373933,-0.071736,0.186242
trois,2.778406,0.677701,0.095784,0.07385,-0.4135,0.929319
plan,2.232251,-0.009444,1.069889,-0.201519,0.401543,0.264915
formule,0.590065,0.404027,1.458176,0.497034,-0.27195,-0.048523
droite,2.299599,-0.214004,-0.091601,0.103025,-0.349088,-0.452851
$\mathbb{C}$,1.53148,0.790625,0.722424,0.271288,0.2384,0.237554
solution,1.009439,0.065506,2.88253,0.187723,0.014566,-0.386925
modèle,1.300597,0.393633,1.763183,0.447071,0.546512,-0.044267
linéaire,0.987917,-0.198451,2.398926,1.249119,0.791784,-1.445985
probabilité,0.426487,-0.613101,2.423346,0.4789,-0.181302,-1.169958
série,0.869662,1.454562,0.617638,1.557536,-0.699064,2.344227
somme,1.645778,0.078078,0.479031,-0.486335,0.306714,-0.576428
mesure,1.913335,0.439993,1.686085,-0.244955,0.217026,-0.331186
carré,2.246101,0.310394,-0.103272,1.441059,0.931903,-0.792168
vecteur,0.576645,-0.27972,2.466135,1.108377,0.352033,-1.722238
connexe,1.244568,0.708626,0.218389,-0.585788,1.613627,1.002961
classe,1.103817,0.604382,0.875651,-0.491721,0.241178,0.504306
produit,1.617966,0.734569,2.363332,0.62468,0.460291,0.099303
égal,1.480943,0.559764,1.45147,0.401312,-0.247554,-1.157121
cercle,1.309375,-0.236446,0.148461,0.080352,0.621123,-0.073078
partie,2.742518,0.474326,0.252472,-0.493358,0.137189,0.634012
relation,1.152193,-0.946166,1.708653,-0.719017,-0.353868,1.009794
courbe,1.339628,-0.173611,0.970368,1.450356,0.560018,-1.819087
différent,2.620418,-0.032162,1.905769,0.18026,0.438231,0.353488
complexe,1.849789,-0.103076,1.78222,0.510912,0.828171,-0.341387
matrice,0.328337,-0.227223,2.023118,1.372727,0.611233,-1.601746
domaine,2.094025,-0.852439,1.008455,-0.909865,1.031877,0.510721
fois,2.248049,0.557693,0.543403,-0.080659,-1.079553,1.06726
type,1.886607,1.100466,1.711323,0.716402,0.877693,-0.580822
mot,1.416278,-0.933138,1.070185,1.041507,0.391206,0.174382
algébrique,-0.045163,-1.360889,2.17871,1.079673,1.335895,-1.255268
degré,0.900259,0.271092,-0.904263,0.074194,0.716693,0.56102
langage,0.395469,-1.247533,2.707582,0.90928,1.20011,0.292887
nul,1.023576,0.986255,1.235944,-0.160061,-1.096548,-0.635108
moins,3.018702,0.359566,1.304268,-0.006904,-0.793834,-0.084202
objet,2.250454,-0.548193,1.588711,0.709124,0.757056,0.242494
triangle,0.518454,0.233761,0.514109,1.408531,0.39167,-1.138759
structure,1.904012,0.072585,2.127491,0.275499,1.254851,-0.244054
corps,2.285171,-0.216043,0.535669,0.467854,-0.446141,0.058088
rapport,1.856782,0.125939,1.964757,-0.561005,0.153318,0.06597
longueur,2.258356,1.867443,0.460256,0.846651,0.47267,-1.332066
informatique,0.164834,-0.155937,2.799648,-0.4174,1.25229,0.465225
infini,0.682771,-0.969699,1.634578,1.708908,0.432083,-0.887722
variété,0.957818,-0.246252,0.763948,1.385216,1.181516,-0.174745
ligne,2.106823,1.398618,-0.120238,-0.576606,1.201163,0.419788
positif,1.000138,-0.1412,2.208525,0.513494,-0.203857,0.006252
angle,2.043149,0.404029,0.370691,1.381316,0.472521,-1.206059
polynôme,-0.129655,-0.904704,1.701646,1.525904,0.072575,-1.863556
centre,1.919868,0.82073,0.403602,-1.223847,1.095635,0.69572
démonstration,0.507147,-0.609944,1.808036,0.344262,-0.081868,-0.293856
vectoriel,0.320526,-0.490984,2.269017,1.761362,1.308675,-1.775943
limite,2.192615,0.284831,1.172459,-0.331099,0.401749,-0.748753
représentation,1.644024,-0.899284,0.976702,0.404257,0.844863,0.379349
famille,1.886177,-0.785181,-0.838792,-0.304022,-0.215178,1.292533
arête,1.403144,0.588074,0.013593,1.521514,-0.009362,-2.160071
distance,1.692171,1.30424,1.410051,0.307483,-0.229571,-0.771153
surface,2.38978,1.301835,1.510996,1.01124,0.563551,-1.319233
aléatoire,0.606074,-0.547981,2.630381,0.964391,-0.277746,-1.389976
naturel,2.661677,-0.056608,0.956305,-0.335796,1.566721,-0.242759
normal,1.156282,-0.014345,1.377899,0.151872,0.505573,-0.179244
arbre,2.410803,0.076153,0.443169,1.333091,0.538609,-0.75334
démontrer,0.845381,-1.181491,1.993509,0.134029,-0.432759,-0.236871
algèbre,-0.288654,-1.154173,1.743488,1.422678,1.206535,-1.667033
règle,1.524152,-0.718296,2.040773,-0.455888,-0.134799,-0.072311
volume,0.287004,0.836086,0.377991,0.885,2.069025,1.212324
calculer,0.963585,0.461153,2.249321,0.397415,-0.02167,-1.3734
constant,0.969823,-0.671686,1.231264,0.468817,0.388848,-0.313583
quatre,2.645431,1.005146,-0.041588,0.082788,-0.262773,0.704252
différentiel,0.163663,-0.452194,2.11569,0.991732,0.62674,-1.435383
hypothèse,1.354463,-1.626432,1.670972,0.33973,-0.049572,-0.379801
image,1.296606,-0.113039,1.341328,1.1989,0.586035,1.108646
régulier,1.497226,1.033029,0.897842,0.056645,-0.403828,-0.127709
complet,1.265299,0.24627,1.085171,0.091585,0.580305,0.712719
racine,1.368795,-0.965164,0.304246,1.11367,0.752462,-0.132435
coefficient,0.223462,0.520006,2.281585,0.703985,0.096954,-1.530169
côté,2.359436,0.101849,-0.190177,0.714885,-0.853336,0.732743
