word,1,2,3,4,5,6
un,-0.646492,0.792698,-3.067187,-2.321249,2.505317,-2.068973
nombre,-0.964975,-0.709694,-1.771013,-3.394953,2.566932,-0.619751
$\mathbb{N}$,-0.779734,-0.36779,-2.528789,-2.41537,2.99713,-1.187458
deux,-0.989302,0.222473,-1.915861,-2.284067,3.210722,-1.777496
fonction,0.918669,-0.173688,-3.228058,-1.824156,2.665126,-1.373452
premier,-0.908785,0.498953,-1.638112,-3.329112,1.702827,-1.328646
ensemble,0.188496,-0.137655,-2.56373,-1.724088,3.012816,-1.430213
point,0.051663,-0.306409,-1.767182,-1.689946,3.699009,-1.667927
théorie,1.294728,1.666597,-2.574272,-2.122524,0.930193,-2.024818
exemple,-0.446288,-0.099429,-2.706326,-2.295313,2.308287,-1.193704
espace,1.559552,0.098942,-2.216153,-0.770897,3.686674,-2.103178
théorème,1.575674,1.074211,-2.273486,-0.89636,1.92302,-2.013293
problème,-0.017916,0.727817,-2.799703,-1.936346,1.228918,-1.25388
valeur,-0.899887,-0.801353,-3.087122,-2.225266,2.451911,-0.642317
groupe,1.336152,0.253315,-1.414533,-1.671078,2.619389,-1.694388
graphe,0.51309,-0.413687,-0.600077,-0.685325,2.996977,-1.20196
forme,0.476495,-0.104276,-2.531938,-1.889954,2.487484,-1.132975
entier,-0.137639,-1.076691,-2.070481,-3.030054,2.656506,-0.455404
système,-0.3045,0.702173,-3.156713,-1.741226,0.928433,-0.985959
équation,1.068099,0.582565,-2.287633,-1.317786,2.158237,-1.718282
suite,0.146602,-0.458813,-2.067435,-1.956864,2.439648,-0.886603
algorithme,0.206909,0.381875,-3.007797,-1.468556,0.519219,-0.64858
calcul,-0.207485,0.701884,-2.913951,-2.2464,0.932924,-1.171641
application,1.477911,0.375497,-2.230185,-2.554822,1.603525,-1.247328
élément,-0.01129,-0.573427,-1.744872,-2.225776,2.719494,-0.980029
grand,-1.725973,1.069289,-1.476425,-1.906055,1.801011,-1.708861
propriété,0.285599,0.011408,-2.698568,-1.411853,2.523682,-1.236163
ordre,-0.316896,-0.063499,-1.608823,-2.146858,2.120668,-1.052734
variable,0.103657,-0.523462,-3.259526,-1.962638,1.606059,-0.402601
base,-0.203596,-0.294576,-2.050764,-2.119372,2.314434,-0.843304
géométrie,1.195318,1.801846,-1.53949,-1.480318,1.425435,-2.292479
analyse,1.054182,1.464288,-2.816134,-2.001383,0.358192,-1.599222
loi,0.688843,0.123329,-2.646682,-0.925758,1.542471,-0.921469
définition,0.450749,0.234078,-2.674728,-1.521189,2.211453,-1.378358
réel,0.560878,-0.427846,-2.890517,-1.560691,2.819845,-1.041606
dimension,0.998686,-0.262203,-1.570313,-1.668953,2.700869,-1.24595
statistique,-0.191441,1.805028,-2.225336,-2.256424,-0.652023,-1.169557
sommet,-1.290215,-0.981085,-0.069271,-1.666335,3.752833,-1.09178
logique,0.891247,1.068656,-2.842109,-1.988715,0.068084,-0.856098
terme,-0.638364,-0.020091,-2.654078,-1.84103,1.718171,-0.739624
trois,-1.343303,0.44348,-1.102568,-2.219394,2.447259,-1.594543
plan,0.363353,0.424991,-1.188616,-0.718192,3.264672,-2.065348
formule,0.560557,-0.215931,-2.695735,-1.381324,1.676083,-0.63564
droite,-0.417352,-0.086515,-0.542623,-0.910164,3.824283,-1.747761
$\mathbb{C}$,0.027964,-0.954377,-1.125691,-2.172732,2.770864,-0.62787
solution,0.186357,-0.154345,-2.604131,-1.935942,1.571169,-0.690197
modèle,0.148195,0.625798,-3.144726,-1.268867,0.444307,-0.946188
linéaire,1.472402,0.153752,-3.10103,-1.43903,1.86594,-1.088313
probabilité,-0.359197,0.282974,-2.57591,-1.651829,1.286363,-0.863176
série,0.710984,0.17512,-1.926729,-2.296043,1.309702,-0.791914
somme,-0.590381,-1.189941,-1.744729,-2.432276,2.394592,-0.325167
mesure,-0.255619,0.2282,-2.445519,-1.109125,2.029706,-1.244233
carré,-0.957594,-0.888377,-1.202122,-1.552851,2.885691,-0.697182
vecteur,0.510301,-0.694345,-1.963262,-0.362916,3.420987,-1.322286
connexe,1.058111,0.613455,-1.507773,-2.197284,1.510631,-1.432259
classe,0.492582,0.165132,-1.834523,-1.81088,1.751766,-1.09771
produit,0.553356,-0.598897,-2.173748,-1.610574,2.426263,-0.715909
égal,-0.752821,-1.115552,-1.378256,-1.882005,3.435735,-0.731436
cercle,-0.59802,0.387722,-0.113622,-0.273927,3.761327,-2.239522
partie,-0.365565,0.316835,-1.338788,-2.238761,1.859028,-1.393353
relation,0.649432,-0.066948,-2.411922,-1.562731,1.933085,-0.948261
courbe,0.488638,0.234019,-1.521374,0.006526,2.803153,-1.738902
différent,-1.290896,0.416225,-2.553293,-1.793892,1.659721,-1.253419
complexe,1.158589,0.232253,-2.37136,-1.426196,2.218927,-1.472338
matrice,1.065279,-0.863187,-2.284075,-1.299313,2.288154,-0.521418
domaine,-0.363199,1.44657,-2.490993,-1.905532,0.849078,-1.711337
fois,-1.278936,0.194187,-1.298213,-2.435988,1.956326,-1.096928
type,0.387559,-0.264178,-2.474945,-1.889252,1.411655,-0.605737
mot,-0.481042,-0.34031,-2.182661,-1.323338,1.768899,-0.425312
algébrique,1.359803,0.939369,-2.190566,-1.58341,1.717333,-1.78222
degré,-0.725782,-0.823292,-0.665433,-2.27288,2.373766,-0.517642
langage,0.684258,0.448817,-2.999099,-1.11942,0.705373,-0.720151
nul,-0.015002,-0.902089,-2.52312,-1.33862,3.125856,-0.843021
moins,-1.905501,-0.121594,-2.111804,-1.786397,1.969105,-0.887306
objet,-0.474476,0.321772,-2.399345,-0.999028,1.88944,-1.286191
triangle,-0.208141,-0.059713,0.155983,-0.596931,3.455068,-1.665314
structure,1.256262,0.325668,-2.371729,-1.766996,1.176305,-1.092466
corps,0.740506,0.193917,-1.557156,-0.929495,2.305711,-1.46068
rapport,-0.297822,0.060555,-1.587572,-1.52882,2.151065,-1.134168
longueur,-0.908187,-0.791568,-1.004426,-1.169125,3.170495,-0.978708
informatique,0.114647,2.310498,-1.767709,-2.176467,-0.540895,-1.63183
infini,-0.204761,-0.028721,-2.140919,-1.175493,2.373477,-1.053634
variété,1.900155,0.431035,-1.623762,-0.38259,2.616226,-1.757127
ligne,-0.421603,0.090841,-0.550515,-2.317097,1.552488,-0.891733
positif,0.254216,-1.280975,-2.466218,-1.576255,2.500887,-0.244812
angle,-0.943613,-0.284132,-0.314945,-0.563263,3.46659,-1.454733
polynôme,1.25272,-0.765551,-1.801815,-1.132992,2.335219,-0.42537
centre,-0.24973,1.085634,0.019809,-1.403809,2.158094,-2.051829
démonstration,-0.077082,0.630444,-2.270244,-1.499867,1.154461,-1.136382
vectoriel,1.95794,-0.281853,-2.096122,-0.777964,2.992005,-1.499202
limite,0.198801,-0.066573,-2.347375,-0.976837,2.296823,-1.071104
représentation,0.524935,0.09147,-2.324978,-1.286174,1.508037,-0.862975
famille,-0.366523,0.886041,-0.765554,-0.7705,2.395237,-1.930238
arête,-1.291217,-0.833385,-0.206611,-1.360102,3.22081,-0.741531
distance,0.059722,-0.399156,-1.37633,-0.832245,2.633803,-0.983405
surface,1.190542,0.178282,-1.080432,-0.763426,2.363668,-1.421459
aléatoire,0.244432,-0.325003,-3.0722,-0.874394,1.35938,-0.386948
naturel,-0.368958,-0.080668,-1.992713,-2.376782,1.255234,-0.474919
normal,0.782525,0.723169,-0.734923,-1.113129,1.757162,-1.673777
arbre,-0.139139,-0.434386,-1.648722,-0.273837,1.955824,-0.551925
démontrer,0.242932,0.788565,-1.580977,-1.245091,1.223226,-1.383192
algèbre,1.649575,0.919597,-1.65959,-1.239339,1.460424,-1.600944
règle,-0.445873,-0.049221,-2.573173,-1.289272,1.280605,-0.589863
volume,0.421406,-0.174761,-0.005497,-3.418559,1.013403,-0.520221
calculer,-0.79727,-0.218044,-2.509411,-1.579048,1.649726,-0.640706
constant,0.56921,-0.581214,-1.898012,-1.159302,2.149541,-0.660161
quatre,-1.686632,0.056258,-0.46164,-2.259893,2.029458,-0.963816
différentiel,1.704974,0.854938,-1.957885,-1.316433,1.486772,-1.752812
hypothèse,-0.170719,0.089445,-3.00647,-1.011299,1.208909,-0.569657
image,0.550763,-0.173165,-1.658043,-1.35988,1.772459,-0.881133
régulier,-0.340073,-0.643569,-0.312018,-0.666539,3.221217,-1.056384
complet,0.871281,0.148966,-1.938913,-1.487452,1.599675,-0.95101
racine,-0.439441,-0.795906,-1.710019,-1.735481,2.167592,-0.346471
coefficient,0.649518,-0.975873,-2.342614,-1.492804,1.813482,-0.117954
côté,-1.60942,-0.369547,0.184526,-0.906702,3.323282,-1.375849
preuve,-0.127017,0.794501,-2.490779,-1.545055,0.546186,-0.880634
axiome,0.274789,-0.157264,-2.334725,-0.692911,1.269305,-0.569345
$\mathbb{R}$,0.541108,-1.338644,-1.000731,-2.119084,2.354178,-0.160153
continue,0.803586,-0.141307,-1.900175,-0.932536,2.429631,-1.117734
résoudre,-0.335257,0.687148,-2.461463,-1.195251,1.220943,-1.139676
arithmétique,0.542471,0.360678,-2.320917,-1.744441,0.682675,-0.850465
conjecture,1.195085,0.620704,-1.27845,-1.133751,0.951379,-0.971026
réseau,0.102514,0.318104,-2.301302,-0.847731,0.697849,-0.65564
opération,-0.323851,-0.317069,-2.558897,-1.523478,1.480027,-0.470114
chiffre,-2.326446,-0.912302,-1.468394,-2.772392,1.113101,0.351091
expression,-0.154078,-0.069269,-2.456737,-1.4254,1.456987,-0.444529
propre,-0.002276,0.176804,-1.955894,-1.087873,1.811971,-1.157741
principal,0.078307,0.985254,-1.628655,-1.605945,1.011772,-1.347733
paramètre,-0.171829,-0.758189,-2.70802,-1.209189,1.694764,-0.236569
coordonnée,0.378543,-0.404565,-1.340892,-0.061971,3.024489,-1.185263
opérateur,1.591162,-0.19534,-2.318954,-0.789548,1.966607,-0.698465
numérique,0.351769,0.979801,-2.689363,-1.58915,0.059914,-0.879715
unité,-0.873302,-0.19348,-1.237536,-1.452204,1.929251,-0.884945
liste,-0.587437,0.280129,-1.304394,-2.526037,0.904683,-0.706589
convexe,0.992526,-0.25512,-1.07382,-0.176819,2.929738,-1.332659
rationnel,0.617346,-0.465719,-2.239815,-0.982903,2.104661,-0.761305
nœud,-1.159234,-0.495923,-0.864837,-0.70083,2.289672,-0.816437
$\mathbb{Q}$,0.605884,-2.101221,-1.191932,-2.231677,2.234544,0.642275
topologie,1.524398,0.606958,-1.475191,-0.650125,2.189708,-1.669368
origine,-0.992595,1.263256,-1.079438,-1.085989,1.497937,-1.757084
distribution,0.950751,-0.149129,-2.36898,-1.252851,0.851734,-0.276677
intervalle,-0.299484,-0.900475,-1.715635,-1.18628,2.642862,-0.343253
compact,1.792637,-0.655277,-1.382789,-0.606695,3.159676,-1.19592
reste,-1.166489,0.069194,-1.16155,-1.747944,1.775529,-1.014693
test,0.51106,-0.033927,-2.540039,-1.085618,0.035797,0.00416
proposition,-0.809151,-0.358979,-2.060623,-1.695707,0.918461,-0.123167
catégorie,1.044034,0.176129,-1.361468,-0.266052,2.015248,-1.1597
programme,-0.564224,0.946706,-2.162862,-1.891191,-0.12599,-0.735151
intégral,1.186047,0.424078,-2.152886,-0.895461,1.299756,-0.973519
complexité,0.468898,0.274614,-2.773008,-1.220665,0.425272,-0.396563
automate,0.92772,0.234818,-2.317022,0.268605,1.16696,-0.821064
moyenne,-0.321523,-0.590365,-2.607959,-1.295311,1.21322,-0.050675
symbole,-0.371067,-0.601721,-1.718751,-1.614387,1.501803,-0.1667
axe,-0.363977,0.085236,-0.219176,-0.039535,3.24059,-1.708638
euclidien,0.94718,0.200669,-1.523673,-0.695119,2.802648,-1.581687
inférieur,-0.900291,-0.93701,-1.163115,-1.736853,2.583783,-0.388768
dérivée,0.811476,-0.025265,-2.48736,-0.728655,2.035701,-1.134088
transformation,1.346707,0.244216,-1.760808,-0.722598,1.856615,-1.167299
anneau,1.734796,-0.68672,-1.597329,-0.554638,2.279544,-0.641017
facteur,-0.663685,-0.852841,-2.289333,-2.209617,1.053205,0.054594
indice,-0.283235,-0.888287,-1.416981,-1.206103,1.721462,-0.070499
zéro,-0.554297,-0.851663,-1.77298,-1.62139,2.065781,-0.29067
sphère,0.243684,0.269217,-0.052755,-0.097279,3.009665,-1.544505
strictement,-0.274184,-1.42684,-2.070862,-1.326365,3.146669,-0.314794
puissance,-0.560511,-0.88661,-2.003579,-1.943515,1.604807,-0.126982
Euler,0.659809,0.419208,-0.969299,-1.266285,1.177804,-1.119309
topologique,1.760686,0.119999,-1.953299,-0.424654,2.604547,-1.646485
déduire,-0.118962,-0.511793,-2.351651,-1.298134,2.025691,-0.640669
composer,-0.533789,-0.236246,-1.118163,-1.61189,1.90491,-0.683554
deuxième,-0.709106,0.35751,-0.81586,-2.173316,1.327755,-0.861632
rayon,-0.681407,-0.753217,-0.023974,-0.407476,3.513358,-1.258609
caractéristique,0.157774,-0.266482,-2.040768,-1.27489,1.712659,-0.679193
vide,-0.290266,-0.724594,-1.43695,-0.882454,2.752423,-0.65947
affine,1.991345,-0.03897,-1.530934,-0.02039,2.851254,-1.474023
supposer,-0.404277,-0.552593,-2.307105,-0.843779,2.085044,-0.623464
ouvert,0.424234,-0.292725,-0.712497,-0.799286,2.940035,-1.31475
partiel,0.906596,0.520526,-1.933689,-1.323941,1.202641,-1.092678
approximation,0.625266,-0.193496,-2.378784,-1.672063,0.721,-0.249675
convergence,0.571079,-0.222404,-2.797862,-0.653069,1.394339,-0.50973
chemin,-0.740042,-0.496252,-1.105813,-0.597752,2.205783,-0.688525
rotation,0.098359,-0.522169,-0.699192,-0.387399,2.914878,-1.131042
différence,-0.740701,-0.149723,-2.187161,-1.241722,1.496548,-0.559688
analytique,0.86166,1.169139,-2.045122,-1.129637,0.908133,-1.513576
formel,0.832363,0.804795,-3.029434,-1.336442,0.240772,-0.782878
intersection,0.536554,-0.463166,-0.414018,-0.738709,3.177046,-1.223425
pourcent,-2.499899,-0.856552,-0.009451,-2.766737,0.634104,0.4729
caractère,-0.344029,-0.55318,-1.977585,-1.515454,1.128855,-0.125071
raison,-1.286559,0.746196,-1.94691,-1.349474,0.755899,-0.88201
aire,-0.726758,-0.168224,-0.243597,-0.281444,2.876991,-1.389888
section,0.343993,0.28194,-0.748713,-1.844853,1.173976,-0.957514
cycle,-0.227553,-0.190035,-0.545797,-1.730229,1.620335,-0.74946
source,0.194923,0.891047,-1.152396,-2.043479,0.169943,-0.841644
discret,1.789595,-0.036531,-2.245107,-1.632569,1.023486,-0.55806
combinatoire,0.938431,1.457818,-1.971654,-1.339785,0.426192,-1.426406
dynamique,0.970542,1.357328,-2.573383,-0.730898,0.26986,-1.29577
inverse,0.854153,-0.485707,-2.083139,-1.190455,1.757735,-0.561179
minimal,0.274106,-0.812309,-1.489262,-1.361875,1.790821,-0.203259
extension,1.141957,-0.131902,-1.792197,-1.255807,1.43103,-0.633981
arc,-0.111284,-0.13666,-0.463071,0.038267,2.966835,-1.210274
énoncé,0.031275,0.20083,-2.461052,-1.004383,1.002859,-0.498069
parallèle,-0.387273,0.248808,-0.838501,-0.161597,2.50489,-1.42644
négatif,-0.509684,-0.757957,-2.391114,-0.989806,1.648829,-0.078992
niveau,-1.301638,0.55371,-1.842947,-1.343018,0.621989,-0.749441
fraction,0.179698,-0.841952,-1.875493,-1.427336,1.427115,0.050242
segment,-0.774626,-0.631859,-0.220153,-0.305968,3.254804,-1.236214
norme,1.160461,-1.050978,-1.685112,-0.878496,2.026096,-0.230555
local,1.25498,0.078689,-2.121781,-1.090053,0.902456,-0.594067
métrique,1.713778,0.252459,-1.884712,-0.117564,2.291339,-1.478821
symétrie,0.194705,-0.116015,-0.534717,-0.117139,2.584861,-1.339175
inégalité,0.709567,-0.147626,-1.876365,-0.3064,1.071169,-0.360188
chaîne,0.401369,-0.587016,-1.656044,-0.952391,1.623972,-0.300909
prouver,-0.01823,0.439176,-1.696701,-1.115646,1.020308,-0.8976
Gauss,1.09379,0.718794,-1.238826,-0.87463,0.72827,-0.939066
symétrique,1.176137,-0.754979,-1.569921,-0.613919,2.706293,-0.857021
Riemann,1.593808,0.487587,-1.577574,-0.928166,1.091995,-1.105503
$\mathbb{Z}$,0.562246,-1.548943,-0.777812,-1.529994,2.519186,-0.001533
polyèdre,0.731467,-0.158508,0.383652,-0.071071,2.39346,-1.142707
binaire,0.047122,-1.082111,-2.254717,-1.530298,1.113515,0.239137
demi,-0.23103,0.008327,-0.188285,-0.507827,2.980272,-1.460968
multiplication,0.132087,-0.692203,-1.887155,-1.568559,1.234169,0.058928
libre,0.260341,0.469012,-1.027904,-1.066471,0.841763,-0.905229
identité,0.736986,-0.042462,-1.554932,-0.882235,1.641906,-0.731605
Hilbert,1.142177,0.534591,-1.051462,-1.182601,0.815635,-1.152729
scalaire,1.15278,-0.597395,-2.271007,-0.114111,2.447272,-0.652201
solide,-0.066829,0.277191,0.58866,0.010948,2.456902,-1.619035
densité,0.07856,-0.636644,-2.712226,-0.625769,1.320688,-0.118714
lemme,1.087968,0.177195,-1.665903,-0.231255,0.74084,-0.502285
polynomial,1.178427,-0.293196,-2.302074,-1.493543,0.84416,-0.209673
cinq,-1.839347,0.273926,-0.114939,-2.035755,1.71944,-0.869812
exponentielle,0.596467,-0.284223,-2.574259,-0.803962,1.350694,-0.356067
élémentaire,0.292192,0.508507,-1.770069,-1.349956,1.024797,-0.957522
argument,0.1227,0.130373,-1.997215,-0.942143,0.705856,-0.533472
optimisation,1.348934,0.706461,-2.491012,-0.874998,0.06113,-0.830816
Fourier,1.833588,0.208691,-1.628177,-1.246829,0.659817,-0.667604
dériver,0.505654,0.200962,-2.126789,-0.778791,1.627941,-1.105664
module,1.591833,-0.560438,-1.48753,-0.942035,1.756825,-0.521907
maximal,0.30146,-0.974608,-1.39664,-0.758232,2.322108,-0.284579
paire,-0.788664,-1.064048,-1.067778,-0.838332,2.271357,-0.235692
uniforme,0.847332,-0.643003,-1.444156,-0.561971,2.070501,-0.540931
action,0.057574,0.190125,-1.487601,-1.398925,0.635781,-0.487662
total,-0.942706,-0.67298,-1.769698,-1.408814,1.446689,-0.053026
polygone,-0.397749,-0.365817,-0.188139,0.145448,2.983446,-1.198836
division,-0.412605,-0.279459,-0.908241,-1.729369,1.028545,-0.378079
signe,-0.957602,-0.726773,-1.645243,-0.969543,1.621758,-0.259803
troisième,-1.006586,0.137338,-0.513374,-1.709538,1.503776,-0.906656
composante,-0.02915,-0.582743,-1.489375,-0.416706,2.305835,-0.721035
paradoxe,0.032724,0.743988,-1.48469,-0.028549,0.317019,-0.937469
égalité,-0.326212,-0.369226,-1.830045,-1.18918,1.730594,-0.459804
critère,-0.497091,-0.387462,-2.308765,-1.096741,0.630904,0.018988
orthogonal,1.183304,-0.461289,-0.864157,-0.35508,2.929577,-1.243481
moment,-0.172805,-0.163273,-1.719725,-0.911394,1.453734,-0.616686
conséquence,-0.288974,-0.015007,-2.444368,-0.838434,1.064984,-0.631397
orienter,0.417027,-0.22874,-1.007501,-0.199406,2.614191,-1.131524
courbure,0.985738,-0.252201,-1.643497,0.153012,2.370603,-1.114323
couple,-0.577842,-0.628233,-0.508254,-1.17623,2.497997,-0.581417
relatif,-0.144301,-0.208684,-1.96028,-1.285793,1.093583,-0.399263
morphisme,1.517385,-1.062425,-1.751531,0.067235,2.604576,-0.482208
central,-0.159869,0.75348,-0.763686,-1.329903,0.992884,-1.215933
observation,-0.835256,0.158147,-1.821372,-1.420948,0.470734,-0.365971
fixe,-0.11336,-0.130018,-1.358309,-0.42906,2.218336,-0.99783
raisonnement,-0.587485,0.31516,-2.869983,-1.006701,-0.245047,-0.120383
cardinal,0.402812,-0.822476,-1.05725,-0.028029,2.369873,-0.607601
quadratique,1.308895,-0.679759,-2.489569,-1.262109,1.282791,-0.087078
dual,1.322221,-0.287967,-1.171949,-0.09798,2.495984,-1.034554
multiple,-0.240669,-0.762113,-1.661898,-1.977755,1.013974,0.189156
dénombrable,0.529492,-0.562276,-1.652956,0.01777,3.045402,-1.05682
