word,1,2,3,4,5,6,7
un,-0.672596,2.44637,1.132033,-0.593239,-0.198247,4.18717,-1.193564
nombre,0.829715,3.084723,1.731697,-1.419325,0.324381,2.629424,-0.446189
$\mathbb{N}$,1.154173,2.131263,1.160624,-1.444885,0.42682,3.401477,-1.672787
deux,-0.167154,2.538854,1.243884,-1.784957,0.312655,3.406569,-1.064336
fonction,0.622157,1.882187,1.57508,0.582758,0.800563,3.342385,-2.497743
premier,0.328197,2.260921,1.494806,-1.273321,0.211672,3.288384,0.328955
ensemble,0.181787,2.069242,1.571072,-0.505409,0.844415,3.165443,-2.19435
point,0.052008,2.533293,1.699574,-1.353004,0.690721,2.60132,-1.800563
théorie,-0.736252,1.148534,1.385913,1.543487,0.398006,3.825131,-0.427554
exemple,0.539039,2.291809,1.206508,-0.458805,-0.055855,3.377942,-1.367804
espace,-0.856269,1.965507,2.259019,0.161841,1.480978,2.577771,-2.674052
théorème,-0.574507,0.245728,1.752008,0.884323,1.922563,3.174159,-1.865001
problème,0.093994,1.580421,0.778869,0.402846,-0.254389,3.404678,-0.938915
valeur,1.445116,2.445177,0.716503,-0.871807,-0.371782,3.165867,-1.95382
groupe,-1.016518,2.262194,2.159184,0.202535,1.018867,2.208589,-1.054934
graphe,-1.441331,2.77097,1.92996,-0.559131,0.578873,0.886967,-0.972217
forme,0.117849,2.289913,1.441397,0.008529,0.183394,2.808499,-1.63737
entier,1.410121,2.554614,1.698074,-1.069124,0.622273,2.506719,-1.328277
système,-0.357866,2.129359,0.490253,0.4531,-0.962491,3.301625,-0.807918
équation,-0.501858,1.282637,1.413787,0.429992,0.740919,2.881899,-1.629408
suite,0.759386,1.698828,1.366667,-0.497284,0.763455,2.600652,-1.465523
algorithme,0.747021,1.254114,0.296464,1.246878,-0.626318,2.948248,-1.054977
calcul,0.059056,1.719528,0.601065,0.597982,-0.613443,3.520388,-0.638517
application,0.683256,1.867885,1.824834,1.242527,0.355101,2.811647,-0.560313
élément,0.567816,2.534215,1.478897,-0.971121,0.363567,2.377165,-1.302932
grand,-0.752246,1.413823,0.521112,-1.315845,-0.068057,3.228792,-0.092738
propriété,0.182487,1.916342,1.241147,-0.11662,0.498224,2.94503,-2.107699
ordre,-0.248467,2.179904,1.474396,-0.769437,0.322629,2.405012,-0.579419
variable,1.400959,1.97662,0.554365,0.416784,-0.609513,2.923838,-1.743374
base,-0.113652,2.764602,1.355685,-0.445626,-0.248546,2.320967,-0.958258
géométrie,-1.810586,1.393142,1.756504,1.064654,0.573588,2.942112,-0.21806
analyse,-0.539191,1.316981,1.084853,1.548876,-0.333271,3.454653,-0.085158
loi,0.244843,1.316839,0.878204,0.963605,-0.006021,2.296432,-1.765137
définition,0.043136,1.705987,1.214164,0.209542,0.351309,3.126336,-1.898754
réel,0.682382,2.014178,1.525119,-0.058932,0.759939,2.900719,-2.486691
dimension,0.062803,2.404507,1.881074,-0.082203,0.663826,2.234585,-1.35429
statistique,-0.617117,1.305822,0.18645,1.066157,-1.175219,3.368723,1.173823
sommet,-0.052029,3.324075,1.40048,-2.525271,-0.06767,1.309038,-0.64872
logique,-0.113845,0.725856,0.811943,1.97056,-0.148697,3.162967,-0.618219
terme,0.626987,1.800464,0.506932,-0.503496,-0.337971,2.953404,-1.320715
trois,-0.276363,2.135824,1.139335,-1.734777,0.11036,2.80654,-0.160067
plan,-1.247197,2.320506,1.724468,-0.816208,0.517608,1.951989,-1.411057
formule,0.731302,1.128778,1.084813,0.542059,0.729835,2.683706,-1.95886
droite,-0.643625,1.840537,1.717845,-2.326774,1.287793,1.720395,-1.45539
$\mathbb{C}$,1.12266,2.112426,1.618323,-1.225575,0.925816,1.74052,-1.034286
solution,1.243848,1.333658,0.757,0.208987,0.152217,3.116606,-1.413584
modèle,-0.003828,1.283944,0.200413,1.02315,-0.691534,2.971864,-0.994706
linéaire,0.102672,2.040318,1.359304,1.349278,0.024439,2.748073,-1.934384
probabilité,0.496778,1.097169,0.361094,0.084707,-0.353153,2.993299,-1.173783
série,0.428442,1.445585,1.398201,0.44222,0.516532,2.441814,-0.451124
somme,1.023191,2.826578,1.503348,-1.034954,0.197958,1.9206,-1.077347
mesure,-0.298936,1.802047,0.741899,-0.122332,-0.302645,2.532589,-1.59171
carré,-0.028902,2.994978,1.270828,-1.489702,-0.105059,1.592539,-1.175816
vecteur,-0.540938,2.496318,1.465643,-0.747378,0.232264,1.448747,-2.430454
connexe,-0.776697,2.207193,1.933569,0.967945,0.320864,2.189271,0.011289
