word,1,2,3,4,5,6,7
un,2.0873,-0.829116,0.518827,0.906342,0.700283,-2.604895,0.563859
nombre,2.322771,-0.082037,0.45017,0.121946,0.522536,-1.235067,0.795248
$\mathbb{N}$,1.807159,-1.083509,0.140927,0.720462,0.52405,-1.711067,0.54284
deux,1.435134,-1.098787,1.045346,0.181027,0.622783,-2.167898,0.481627
fonction,2.312455,-0.146006,-0.064956,0.561819,-0.479331,-0.668775,1.362592
premier,0.681108,-0.951863,0.241377,-0.041112,0.574651,-2.287845,1.146109
ensemble,1.271229,0.099138,0.608091,0.907657,0.459911,-1.607863,0.707137
point,1.460649,-0.557383,1.018638,-0.445192,1.308004,-1.035287,0.654411
théorie,1.20336,0.539572,-1.043862,2.615481,-0.398562,-0.115831,1.062335
exemple,1.946286,0.285063,0.17989,1.579949,0.588419,-1.031446,0.27328
espace,1.664626,0.807836,1.132606,1.184683,0.330292,-1.096145,0.662458
théorème,1.026046,-0.017344,0.102493,1.354759,-0.949451,2.409526,0.077177
problème,2.330954,-0.646204,-0.51357,1.308526,0.709169,-0.488159,1.086227
valeur,2.408446,0.472975,0.055833,1.296444,0.387278,-0.551487,0.692714
groupe,0.54671,-0.442852,-0.181676,0.350762,1.598516,-1.433617,1.100463
graphe,1.462808,1.82833,0.396093,0.891261,-0.067184,1.412819,-0.744304
forme,1.821399,0.432652,0.939626,1.495237,0.448028,-1.512549,-0.578526
entier,1.541425,0.012043,0.459057,0.936263,0.427183,-1.265595,0.118252
système,2.596009,0.700663,0.3253,0.887525,1.102406,-0.236952,1.215614
équation,1.665633,-0.032594,0.734682,1.716096,-0.214463,2.172554,0.260827
suite,1.023049,-1.183729,-0.237172,0.084218,0.409365,-1.741326,0.963057
algorithme,1.564624,0.463529,0.22365,1.450997,0.501016,1.921536,0.243368
calcul,2.326894,0.592191,0.576257,1.447742,0.26266,0.955685,0.98391
application,2.139597,0.962096,0.216957,1.292756,0.84604,0.451093,2.169934
élément,2.016476,0.536603,0.494785,1.761571,0.304278,-1.096924,0.035106
grand,0.981966,-0.504194,0.533637,0.251726,0.163766,-2.719792,0.280805
propriété,1.651928,0.471667,0.463207,0.795391,-0.633125,-0.825555,0.408029
ordre,1.173071,-0.420868,-0.393537,-0.098856,-0.948865,-1.856645,0.600008
variable,2.191235,0.76143,1.102436,1.150032,1.356881,0.217548,-0.063154
base,1.850037,0.746578,0.621467,0.49855,0.889598,-1.169295,0.480332
géométrie,1.428567,1.385542,0.870116,1.850199,-0.549489,1.105989,-0.114132
analyse,1.235841,0.769913,-0.226534,2.353795,0.113448,-0.347272,1.39477
loi,1.722092,-0.361011,-0.86935,0.457175,-0.503498,-0.654586,1.95073
définition,2.040242,1.124632,-0.187948,1.838932,0.269384,-0.094436,0.938992
réel,1.843243,-0.410657,-0.294649,1.916509,0.868808,-0.526931,0.847794
dimension,1.470288,0.592443,0.842209,1.663099,0.868749,-0.523666,0.098558
statistique,0.719759,0.313773,-0.207285,-1.181233,1.249551,-0.386661,1.60007
sommet,1.364786,0.230027,0.916484,-0.704929,0.925621,-1.930063,-1.222936
logique,1.692573,0.660714,-0.561168,2.086251,-0.271071,0.515754,0.809205
terme,1.942596,0.190427,-0.673306,1.051253,0.383218,-1.29656,0.370945
trois,1.17457,-0.925357,0.986054,0.009635,0.548227,-2.234034,0.460797
plan,1.53176,0.106341,0.658371,0.542759,0.108985,-1.371797,0.739884
formule,1.03221,-0.323192,0.386409,0.376844,0.812092,0.01215,0.56049
droite,1.600788,-0.728299,0.926112,0.078328,-0.50712,-1.292151,-0.383022
$\mathbb{C}$,0.931708,0.035819,0.696812,0.210307,0.781989,-1.047192,0.497632
solution,2.396455,0.282252,-0.005519,1.370295,0.990554,0.424129,1.122624
modèle,1.416376,0.422553,0.808222,0.947918,0.799733,-0.233988,0.923975
