word,1,2,3,4,5,6,7,8
un,-3.12368,1.69201,-0.570914,0.898683,-0.178839,-0.432784,0.592198,-0.266404
nombre,-2.071909,1.142366,-1.161098,-0.379512,0.154267,0.330597,0.659671,0.842618
$\mathbb{N}$,-2.332102,1.447526,-0.28953,0.699696,-0.406011,-0.012828,0.41179,0.53583
deux,-2.926065,0.683547,-0.690585,0.753818,-0.360151,-0.278272,0.097609,0.095722
fonction,-1.463808,1.686007,-0.582499,-0.222267,0.402279,1.399699,0.555674,0.235859
premier,-2.614615,1.043129,-0.007213,0.346142,-0.181127,-0.615465,-0.84165,0.036087
ensemble,-2.013872,1.097754,-0.568461,-0.49828,-0.362521,0.226747,0.645635,-0.171354
point,-2.40953,0.247505,-0.758355,-0.463963,0.085799,-0.191599,0.200877,1.25724
théorie,-0.37467,2.516787,0.822432,-0.866873,-0.321051,1.263431,1.325765,-0.538534
exemple,-1.672921,1.721522,-0.363403,-0.283854,-0.311694,0.201651,1.582751,0.027083
espace,-1.861841,0.937454,-0.924518,-1.175785,-0.250434,0.701356,1.252878,-0.374744
théorème,0.315569,0.263837,0.541664,-0.557524,-0.254185,2.659783,1.592025,0.153811
problème,-1.418483,1.893727,0.312287,0.14664,0.315478,0.689655,1.237878,0.740381
valeur,-1.598417,2.007041,-0.865618,-0.776758,-0.164845,0.830932,1.332718,0.663661
groupe,-2.033617,1.004071,0.595115,-0.584962,0.000149,-0.802311,-0.226531,0.908324
graphe,0.624428,-0.754571,-1.014261,-0.420352,-0.529552,1.4253,1.985826,0.321833
forme,-1.797409,1.207833,-0.999882,-0.073096,-0.689909,-0.129462,1.848124,-0.455149
entier,-1.519314,1.161732,-0.795818,-0.377869,-0.550807,0.335772,1.145122,0.29964
système,-1.814243,1.650558,-0.32236,-0.796522,1.368991,0.428263,1.663787,0.545428
équation,-0.260603,0.594083,0.244398,-0.873856,-0.132876,2.402664,2.288968,0.152293
suite,-1.947486,1.273608,0.18944,0.687986,0.061654,-0.159757,-0.436301,0.420632
algorithme,-0.134854,0.443247,0.524013,-0.730711,0.2345,1.609963,2.226555,0.853107
calcul,-0.931594,1.312934,-0.123988,-1.145774,0.362196,1.689025,1.889566,0.507633
application,-1.394507,1.622306,0.321873,-1.7606,1.318385,1.016955,1.561059,0.139626
élément,-1.667263,1.493334,-0.822828,-0.361828,-0.39525,0.350384,1.821873,-0.217151
grand,-2.503857,1.052782,-0.74512,0.769004,-0.465193,-0.759604,-0.263165,-0.673569
propriété,-1.167288,1.060896,-0.647948,0.259428,0.579136,0.932321,1.17019,-1.018117
ordre,-1.323997,1.447123,-0.702175,0.9049,0.05563,0.196546,-0.755118,-0.481511
variable,-1.163083,0.887436,-0.59633,-1.297403,0.057861,0.467402,2.524033,0.861313
base,-1.828658,0.985938,-0.859319,-0.465203,0.77862,-0.343023,1.260737,-0.260214
géométrie,0.065209,0.863128,-0.387647,-1.689483,-0.390843,2.127615,1.850634,-0.715313
