word,1,2,3,4,5,6,7,8
un,2.257827,2.93867,0.796454,1.97574,1.517721,2.090683,1.017434,-0.574633
nombre,3.293932,1.842305,1.82684,-0.315609,2.789045,1.33222,0.255275,-1.523091
$\mathbb{N}$,3.172238,2.700935,0.378143,0.873978,1.593456,1.247471,-0.614307,-0.571848
deux,3.043014,1.860419,0.747399,1.62482,1.645645,2.173778,0.081414,-0.531031
fonction,2.642911,3.385512,0.228108,2.155539,0.817645,-0.307624,0.216907,-0.717526
premier,2.140494,1.761715,0.850945,0.364585,2.155651,1.98601,0.381789,-2.11831
ensemble,3.008552,2.494111,0.241462,1.907567,1.29748,0.446589,0.233489,-0.277772
point,3.024273,1.778543,0.317007,2.668336,0.70524,1.397712,-0.449914,-0.043232
théorie,0.846869,2.490244,0.087172,1.789262,1.425781,0.437702,2.02566,-2.151929
exemple,2.468472,2.724263,1.043744,1.134556,1.4324,1.175506,0.306925,-0.731901
espace,3.031326,2.030918,-0.448193,3.352432,0.926849,-0.125745,0.775641,-0.004867
théorème,2.276002,2.367465,-1.253819,1.199694,2.277776,-0.744202,1.747446,-1.086856
problème,1.308858,2.844573,0.800349,0.748632,1.416582,0.77175,1.05908,-1.118477
valeur,2.639225,3.248387,1.21738,1.033431,0.605329,1.022759,-0.925934,-0.27959
groupe,2.290892,1.035644,0.670339,2.582357,0.993918,0.333731,0.874298,-0.871456
graphe,2.622567,0.01229,1.378206,1.322006,2.184849,0.534844,1.559872,0.244769
forme,2.57083,2.359882,1.068496,1.591479,1.357852,0.22853,0.745856,-0.488083
entier,3.47815,2.139899,1.15706,0.242931,2.015896,0.374003,-0.472827,-1.078433
système,0.886874,2.967116,1.355631,1.338972,0.703836,1.285774,0.989357,-0.727317
équation,1.826703,2.419532,0.010873,1.972173,0.900441,-0.078319,0.768503,-0.967327
suite,2.696744,2.284403,0.43804,0.816073,1.393372,0.078692,-0.15237,-0.969527
algorithme,0.668048,3.256722,1.071665,0.220554,0.793325,0.250028,0.723896,-0.993041
calcul,1.134084,2.970037,1.121739,0.628888,1.208485,1.07672,1.055861,-1.285113
application,1.648729,2.415101,0.842874,2.600855,0.237577,-0.162289,0.303522,-1.884071
élément,3.038519,1.531513,0.930751,1.308531,1.484124,0.755082,-0.067056,-0.603967
grand,1.399221,1.777005,0.038829,0.823972,1.324846,2.603673,0.546692,-0.767349
propriété,2.573255,2.519921,0.344675,1.485334,1.480452,0.261103,0.651615,-0.127095
ordre,2.244941,1.332746,1.046637,1.387424,1.32093,1.164351,0.349247,-0.743893
variable,1.675124,3.413862,1.194495,1.561966,-0.046603,0.369979,-0.53212,-0.4898
base,2.334163,1.672611,1.726159,1.399109,1.37095,0.988773,0.645766,-0.475973
géométrie,1.031567,1.382157,-0.011004,2.233833,1.463572,0.557815,2.44006,-1.532891
analyse,0.080731,2.818284,0.682027,1.887258,0.413991,0.601508,1.518726,-1.826377
loi,1.374293,2.648795,0.404669,1.755294,-0.00486,-0.222068,0.059056,-0.224072
définition,2.20829,2.664594,0.248254,1.604367,1.300787,0.228263,0.821804,-0.37653
réel,2.827819,2.789594,0.485643,1.86239,1.01705,-0.152713,0.020139,-0.147522
dimension,2.716045,1.369063,0.989547,2.25129,1.128545,0.259301,0.392821,-0.612751
statistique,-0.674383,2.414151,0.876518,2.084846,-0.431895,1.859293,0.941838,-1.71457
sommet,3.230124,-0.061413,1.556705,1.204395,1.593828,2.124474,-0.450128,0.267709
logique,0.666636,2.749667,0.31584,-0.194885,1.746273,-0.25465,1.941791,-1.858626
terme,1.985182,2.718655,0.922126,0.556555,1.256222,0.947439,0.054235,-0.332907
trois,2.25594,1.17889,0.696879,0.950261,1.547413,2.346814,0.0759,-0.749504
plan,2.430868,0.83768,0.391085,2.954041,0.815697,1.07586,0.802921,0.409509
formule,2.296127,2.657027,0.099015,0.368756,1.842609,-0.539686,0.483501,-0.521912
droite,3.028581,0.397035,-0.399015,2.605803,0.85649,1.61068,-0.436817,0.55595
$\mathbb{C}$,2.969219,1.207615,0.617997,1.36226,0.81774,0.524467,-1.045076,-0.67694
solution,1.846848,3.105448,0.450346,0.841488,0.748976,0.064453,-0.245834,-0.993686
modèle,0.443037,3.113001,0.869783,1.093154,0.406276,0.562656,0.885605,-0.673071
linéaire,1.555295,2.896196,0.968888,2.291909,0.43809,-0.317244,0.658266,-0.639958
probabilité,1.195958,2.87888,0.316206,1.199303,0.105484,0.96478,-0.483487,-0.63228
série,1.611737,2.062178,0.776905,1.087266,1.060313,-0.167124,0.456658,-1.558751
somme,2.937328,1.718675,1.691811,0.362326,1.659115,0.433608,-0.240795,-0.59229
mesure,1.637035,2.299574,0.690635,1.806464,0.498719,1.059659,0.246359,0.210369
carré,2.861618,1.0169,1.681389,0.548643,1.84813,1.122078,0.335454,0.156698
vecteur,2.575429,1.640078,0.916851,2.940568,-0.059028,0.613395,-0.349607,0.727674
connexe,1.457165,1.089042,1.25641,1.951535,1.23059,0.255757,1.362461,-1.578794
classe,1.764977,1.693096,0.393056,1.949183,0.664936,0.20897,0.559716,-0.770267
produit,2.436158,1.666095,1.511489,1.716015,0.964901,0.148416,0.362504,0.15956
égal,3.455815,1.282469,0.979992,1.298178,1.024255,0.94031,-0.960183,0.006559
cercle,2.749853,-0.096748,-0.200288,2.237446,1.429289,1.714116,0.568102,0.616833
partie,1.964235,1.557865,0.343433,1.424086,1.15099,1.363847,0.114661,-0.918565
relation,2.114414,2.281376,0.460077,1.341061,1.053088,0.160858,0.445478,-0.516485
courbe,2.040994,1.062554,-0.299717,2.306728,0.834222,0.374857,1.037127,0.599419
différent,1.591633,2.5253,1.256007,1.020428,0.955603,2.012734,0.345791,-0.135195
complexe,2.16302,2.146894,0.316552,2.068712,1.099864,-0.125013,0.746353,-0.505564
matrice,2.215101,1.939733,1.666158,2.019845,0.289126,-0.30515,0.013401,0.04297
domaine,0.646129,2.506574,0.636688,1.552704,0.8044,1.792967,1.166781,-1.167047
fois,2.118903,1.736167,0.385379,0.680471,1.185599,1.938915,-0.546094,-0.895054
