word,1,2,3,4,5,6,7,8
un,-2.587091,-1.067601,-1.415716,0.523564,0.556409,-1.42562,-0.756764,-0.404583
nombre,-1.909636,-1.116323,-1.102302,-0.173457,0.526393,-0.723933,-0.690493,0.835391
$\mathbb{N}$,-2.144373,-0.841363,-0.632076,0.209402,0.314318,-1.261057,-0.32858,-0.044536
deux,-2.073148,-0.879588,-0.739802,1.250912,0.807702,-1.028702,-0.792776,-0.103727
fonction,-2.199486,-1.147929,-0.808899,-1.013265,0.549173,-0.048819,0.068501,0.743959
premier,-2.01573,-0.714229,-1.002526,1.595822,-0.029347,-0.517247,0.102628,-0.137047
ensemble,-1.450863,-0.453014,-1.494536,0.260956,0.998032,-0.525751,-0.270672,-0.244349
point,-1.221739,-0.453627,-0.724885,1.031433,0.780576,-0.845553,-0.380578,1.177161
théorie,-1.222863,-0.555529,-1.236233,-2.330946,0.240184,-0.489047,1.330759,-0.7114
exemple,-1.383366,-0.706574,-1.419937,-0.928138,0.967482,-1.260645,-0.288346,-0.06912
espace,-1.184232,-0.365343,-1.711803,-0.371115,1.740981,-0.212707,-0.560028,0.152718
théorème,0.438201,-0.44498,1.185219,-2.698806,1.019592,-0.186163,0.740111,0.524254
problème,-2.085659,-0.713495,-0.808645,-1.099027,0.317578,-1.457345,0.478526,0.483092
valeur,-1.692137,-0.564136,-1.468919,-1.446186,1.041768,-0.657325,-0.155892,0.628213
groupe,-1.36459,0.400207,-1.500033,1.115831,0.058182,-0.953548,0.605813,0.531405
graphe,0.881689,0.582929,-0.564025,-2.226838,1.502462,0.150697,-1.116288,0.706153
forme,-1.020579,-0.821474,-1.435156,-0.640313,1.145162,-1.2329,-1.143258,-0.634002
entier,-1.384355,-0.348735,-1.2921,-0.245324,0.652766,-0.819323,-0.594121,-0.108134
système,-1.402902,-0.930229,-1.698393,-1.205129,0.902094,-1.073772,-0.042137,1.613722
équation,-0.023067,-1.20977,0.736288,-2.455018,1.291434,-0.966196,0.664744,0.584897
suite,-2.073264,-0.665404,-0.512415,0.755925,-0.301829,-0.745848,0.253339,0.006842
algorithme,-0.015315,0.093893,-0.195471,-2.145131,1.327962,-0.935439,0.420217,1.188114
calcul,-0.706096,-0.847705,-0.752699,-2.08726,1.65201,-0.619326,0.380618,1.222893
application,-0.976097,-1.078347,-1.801297,-1.667835,1.017953,-0.495739,1.157699,1.683211
élément,-1.218697,-0.915513,-1.521939,-1.152519,1.251229,-0.985734,-0.58707,-0.27205
grand,-1.894876,-0.771358,-1.192909,1.170696,0.283813,-0.38402,-0.839448,-0.781805
propriété,-1.085978,-1.832683,-0.762617,-0.892678,0.459974,-0.128728,-0.529965,-0.12727
ordre,-1.931686,-1.227762,-0.392809,0.093319,-0.686359,0.321148,-0.497663,-0.640043
variable,-0.244817,-0.656102,-1.320177,-1.388814,1.567678,-1.422635,-0.723789,1.084332
base,-0.890164,-1.15646,-1.662676,-0.321392,0.631923,-0.800501,-0.862382,0.650697
géométrie,0.324701,-0.185149,-0.444585,-2.464532,1.92861,0.129349,-0.063429,0.022003
analyse,-1.090104,-0.663018,-1.667587,-1.730581,0.896012,-0.480042,1.209401,-0.232853
loi,-2.261165,-1.299657,-0.543604,-0.923412,-0.496392,0.094691,0.876756,0.64202
définition,-1.084237,-0.373348,-1.668869,-1.950245,1.020935,-0.446511,0.254626,0.397725
réel,-1.72964,-0.157671,-1.050008,-1.073183,0.810844,-1.578085,0.670768,0.121156
dimension,-0.48332,-0.425096,-1.391907,-0.823035,1.519117,-1.253019,-0.23121,0.073598
statistique,-0.922623,0.375904,-0.981273,1.055375,-0.039625,0.384873,0.538741,1.900158
sommet,-0.767894,0.188415,-0.914824,1.102198,0.633022,-0.671546,-2.32707,0.062894
logique,-1.158224,0.229272,-0.887951,-2.294912,0.952215,-0.292243,0.71464,-0.013063
terme,-1.829087,-0.108475,-1.375672,-0.828952,0.071883,-0.861113,-0.434612,-0.030967
trois,-1.810644,-0.842871,-0.797773,1.387357,0.736354,-0.695941,-0.617225,-0.122031
plan,-1.512032,-0.924549,-1.092734,-0.076853,0.684585,-0.269988,-0.434616,0.13249
formule,-0.765321,0.218742,-0.341109,-0.011786,1.115381,-0.611092,0.274277,0.882779
droite,-1.901078,0.065269,0.015061,0.447496,1.387096,0.097874,-1.373477,-0.354207
$\mathbb{C}$,-0.671528,-0.836698,-0.865268,0.459059,0.540554,-0.65233,-0.270776,0.381201
solution,-1.186454,-0.681285,-1.159763,-1.638532,0.868449,-1.361789,0.488924,1.265398
modèle,-0.711326,-0.945144,-1.07703,-0.466849,1.192555,-0.714095,0.190629,0.803692
linéaire,0.168356,-0.383932,-0.74966,-1.832232,1.985472,-1.007621,-0.791045,0.820082
probabilité,-0.724526,-0.591192,0.124015,-2.083128,0.795513,-1.575815,-0.225187,1.408022
série,-0.342317,0.098141,-0.894516,1.978608,0.794715,-1.883551,1.521671,-0.135998
somme,-1.660343,-1.301023,0.205409,-0.033298,0.934528,0.446095,-0.410496,0.701712
mesure,-1.322578,-1.15375,-1.123012,-0.640802,0.394372,-0.820875,-0.618018,0.885327
carré,-0.41235,-0.997328,-0.277072,0.54749,2.342267,-0.120427,-1.333397,-0.552705
vecteur,0.259824,-0.580923,-0.627114,-2.292972,0.933478,-1.347659,-0.611439,1.034299
connexe,-0.159682,-0.864373,-2.144783,0.634951,-0.085596,0.805284,-0.251763,-0.037232
classe,-1.056157,-0.593567,-0.985039,0.404518,0.054236,-0.216084,0.117244,0.603283
produit,-0.863349,-0.869393,-1.633919,-0.618958,1.278971,-1.354519,0.166643,0.965684
égal,-1.014642,-0.673766,-0.070894,-0.63188,1.184798,-0.824361,-0.63237,1.192436
