word,1,2,3,4,5,6,7,8,9
un,1.281596,-0.413854,-0.516454,1.358208,-3.906358,-1.464181,-0.262359,2.372652,0.58342
nombre,0.849585,-2.257493,-0.726721,0.16558,-2.364799,-1.516984,-0.888118,3.774725,-0.845921
$\mathbb{N}$,0.89553,-0.886602,-0.424857,-0.172053,-3.895419,-1.416155,-0.561255,1.973387,-0.915413
deux,0.264251,-0.775478,-0.771489,0.269922,-4.042097,-1.041424,-0.384197,2.434571,0.446883
fonction,1.982973,-1.353661,0.280383,0.310701,-4.02886,-1.040791,1.312501,0.911948,0.028116
premier,0.566748,-1.220921,-1.245239,0.502339,-2.125477,-2.180136,-0.155795,3.241967,-0.287927
ensemble,2.104882,-0.580951,-0.212941,-0.028657,-3.929474,-1.323866,-1.237798,1.35919,0.148304
point,0.174891,-0.996199,0.074816,-0.328448,-4.578037,-0.68767,0.484495,1.099992,0.948186
théorie,2.626107,-0.12757,-0.769688,1.347171,-2.102674,-2.282684,0.807558,1.523014,0.824787
exemple,1.146501,-0.853163,0.144645,0.648265,-3.314147,-1.423238,-0.213223,2.091013,-0.298884
espace,2.647999,-0.703809,-0.247159,-0.046414,-4.147128,-0.808503,-0.504131,0.251168,1.286866
théorème,2.911712,-1.300947,-1.766392,0.053943,-2.480246,-0.996468,1.523294,1.030835,-0.139788
problème,1.63094,-0.407209,-0.106357,1.358373,-2.276495,-1.496227,0.460793,1.775757,-0.351262
valeur,0.124148,-0.863596,1.119341,0.503522,-4.135864,-1.124712,0.411619,1.85042,-0.907356
groupe,2.01759,-0.768041,-0.23771,0.15734,-2.694838,-1.490701,-1.182575,1.009201,1.780977
graphe,2.099567,-1.480148,-0.52146,0.139372,-1.814263,-0.209914,-2.583519,2.113372,1.393821
forme,1.620101,-1.515257,0.106061,0.500025,-3.108556,-0.70605,0.268231,1.661305,0.222652
entier,1.170755,-2.199191,-0.062644,-0.59478,-3.039818,-1.257466,-0.619097,2.436972,-0.94347
système,1.195557,-0.031244,0.61883,2.071672,-2.429844,-1.183289,0.302558,1.75167,0.241813
équation,1.537928,-1.0433,-0.223584,0.458233,-3.143014,-0.921943,2.180014,0.60363,0.325193
suite,1.355973,-1.33805,-0.414652,-0.293854,-2.86911,-1.101664,0.065681,1.659347,-0.402866
algorithme,1.825673,0.099032,0.829658,1.503385,-1.778337,-1.851363,-0.228144,1.468354,-1.085016
calcul,1.143075,-0.5477,-0.019901,1.686187,-2.211598,-1.555439,1.23685,2.049233,-0.432954
application,1.644449,-0.605433,1.052841,0.284033,-2.712602,-2.51849,0.552574,0.655451,0.917991
élément,1.001651,-1.285063,-0.005398,-0.050693,-2.964896,-0.978865,-1.085859,2.017276,0.045806
grand,0.042316,0.202365,-1.427695,0.862633,-2.592078,-1.246096,-0.166238,2.19234,0.279112
propriété,1.946489,-0.910729,-0.307889,0.474698,-3.253228,-0.683188,-0.008177,1.266392,-0.261852
ordre,0.803787,-1.086534,-0.298523,-0.020809,-2.579601,-1.130225,-0.887523,1.934335,0.615444
variable,0.849515,-0.610673,1.565336,0.905684,-3.6088,-1.184464,1.090465,1.066529,-0.45273
base,0.962117,-1.432171,0.30637,0.702571,-2.647964,-0.966624,-0.378902,2.22278,0.587381
géométrie,2.119304,-0.741078,-1.174695,1.266376,-1.831255,-1.263016,1.588091,1.299487,1.682022
analyse,1.789996,0.028286,0.242573,1.995451,-1.865677,-2.169647,1.677571,1.288444,0.979082
loi,0.909815,-0.818428,0.506833,0.800223,-2.964258,-0.4379,1.918029,0.547537,0.194037
définition,1.935811,-0.750784,-0.166245,0.623334,-3.167981,-0.899385,0.236301,1.185253,-0.042387
réel,1.695166,-1.145366,0.250571,-0.12002,-3.860284,-0.653851,0.311357,0.962207,-0.223675
dimension,1.437644,-1.406415,0.213327,-0.089595,-2.996258,-0.925239,-0.08993,1.176986,1.055981
statistique,0.187518,0.915121,0.539874,2.241701,-1.5807,-2.220973,1.236228,1.239241,1.544056
sommet,-0.457866,-1.383654,-0.475031,-0.334875,-3.005054,-0.155967,-2.279803,2.46414,1.259881
logique,2.641938,-0.658131,-0.626836,1.330977,-0.897688,-1.729539,1.027033,1.736969,-0.986009
terme,0.867029,-0.763285,0.020843,0.798605,-2.920189,-0.836659,0.181885,1.92145,-0.699562
trois,-0.183953,-0.753898,-1.060693,0.394463,-2.825093,-0.996283,-0.39623,2.443628,0.450027
plan,0.418359,-0.942344,-0.196099,0.166883,-3.651221,0.173564,0.44044,0.89711,2.06066
formule,1.88607,-1.524857,-0.322125,0.196628,-2.524741,-0.571124,1.142707,1.367835,-1.241692
droite,-0.451616,-0.981681,-0.633355,-0.918777,-4.03927,-0.000732,0.16317,0.651428,1.548764
$\mathbb{C}$,0.213958,-1.149564,0.433155,-1.081663,-3.10818,-1.225107,-0.94467,0.882593,0.119739
solution,1.249836,-0.755081,0.369365,0.260716,-2.981181,-1.401018,1.037909,1.043349,-0.960007
modèle,1.44295,0.33892,0.637413,1.794669,-2.157408,-1.326239,0.435264,1.068048,-0.106633
linéaire,2.093832,-0.645022,1.136882,1.065188,-3.154787,-1.298607,0.621584,0.55805,0.680729
probabilité,0.287362,0.006101,0.350115,0.700203,-2.889171,-1.189225,0.85013,0.967701,-0.445985
série,1.028232,-1.559049,-0.040115,0.368193,-1.92543,-1.300826,1.697538,1.557822,-0.079576
somme,0.624474,-2.381254,0.258227,-0.197572,-2.604965,-0.556002,0.016513,2.572939,-0.474029
mesure,0.509509,-0.491605,0.35779,0.940746,-3.114065,-0.233274,0.915866,1.198738,0.564506
carré,0.053987,-2.509586,-0.301958,0.303112,-2.746337,0.439675,0.473508,2.574694,-0.000323
vecteur,0.438586,-0.848764,0.941011,0.02939,-4.113293,-0.053853,0.071399,0.40126,1.288047
connexe,1.772339,-1.311186,-0.018444,0.685982,-1.569289,-1.716334,0.096789,1.59622,1.484806
classe,1.51698,-0.296919,0.250079,0.106412,-2.468135,-1.585229,-0.879635,0.661494,0.660582
produit,1.377398,-1.390483,0.715625,0.360252,-2.902486,-0.40557,-0.485439,1.352966,0.676351
égal,-0.011309,-1.890187,0.148986,-0.847856,-3.602226,-0.290084,-0.179789,1.832037,-0.016266
cercle,-0.1897,-1.352033,-1.348191,-0.438382,-3.344176,0.681786,0.858907,1.259891,1.62539
partie,0.721001,-0.565465,-0.633359,0.241119,-2.557726,-1.390373,-0.284939,1.610348,0.41109
relation,1.637965,-0.649016,0.337228,0.293335,-2.79836,-1.066912,0.042053,0.985472,-0.033491
courbe,1.023067,-1.213906,-0.580053,0.171633,-3.072755,0.590703,1.351877,0.485537,1.059695
différent,0.316449,-0.066234,0.092478,1.465548,-2.933195,-1.090556,-0.355328,2.238243,0.040699
complexe,2.004942,-0.990636,-0.105674,0.31938,-3.005453,-0.800756,0.676341,0.772543,0.69271
matrice,1.141557,-1.545614,1.603575,0.366932,-2.853679,-0.375452,0.118271,0.80535,0.567716
domaine,1.000571,0.462944,-0.299492,1.690981,-2.350533,-1.683626,0.304766,1.614063,0.710283
fois,-0.187519,-0.517505,-0.634796,0.074913,-2.766103,-1.446481,-0.277869,1.967597,-0.315245
type,1.294111,-0.711516,0.773028,0.883835,-2.362579,-1.306128,-0.183367,1.439254,-0.020522
mot,1.490362,-0.872538,-0.31959,0.758699,-1.939653,-0.370436,-1.814189,2.158806,-0.369253
algébrique,2.676891,-0.772572,-0.71475,0.792771,-2.081811,-1.312448,0.156698,1.187371,0.912454
degré,-0.460719,-1.994102,0.218775,-0.505861,-2.371649,-0.518969,0.286898,1.967533,0.251782
langage,2.808377,-0.152983,-0.126367,1.320847,-1.290022,-1.479354,-1.584716,1.542494,-0.268917
nul,0.738292,-0.985488,0.595812,-0.588756,-4.097914,-0.32913,0.243901,0.613494,-0.401276
moins,-0.00814,-0.136013,-0.506684,0.524207,-3.005381,-0.953043,-0.926973,2.153719,-1.119633
objet,1.073775,0.076958,-0.185352,1.308924,-2.92864,-0.524718,-0.744159,1.581543,0.234858
triangle,-0.175523,-2.338058,-1.103333,-0.481956,-2.557591,0.986244,1.022877,1.627632,1.484723
structure,1.924845,-0.259891,1.047591,0.913382,-2.088649,-1.731388,-0.348395,0.824616,0.824103
corps,1.912669,-0.887509,-0.584353,0.20045,-2.614754,-0.336308,-0.64488,1.131477,1.049418
rapport,-0.320263,-0.563999,0.267599,0.230224,-3.056334,-0.611041,0.896219,1.144953,0.556714
longueur,-0.436894,-1.650515,0.141092,-0.005501,-3.133694,0.258534,-0.212211,1.94922,0.500879
informatique,0.914136,1.232944,-0.285292,2.133921,-0.923891,-2.512129,0.521895,1.223243,1.804735
infini,1.431086,-0.756572,-0.59251,0.218191,-2.801568,-0.413928,-0.325026,1.309757,-0.336145
variété,2.689299,-0.788262,-0.248663,-0.019649,-2.743975,-0.252366,-0.030806,-0.069939,1.727305
ligne,-0.364843,-1.286065,-0.014868,0.175607,-1.783144,-1.192496,0.263507,2.108318,0.702584
positif,0.861176,-1.48771,0.976397,-0.457969,-3.515689,-0.437577,0.44965,0.840166,-0.571711
