word,1,2,3,4,5,6,7,8,9
un,1.249745,0.563996,-0.733441,-2.734789,-0.158069,0.388109,0.284278,-1.468419,-0.96363
nombre,0.70632,0.363951,0.033524,-2.432075,0.262067,1.157249,0.876966,-0.029674,-0.951226
$\mathbb{N}$,0.616101,0.065229,-0.527203,-1.986215,-0.115124,1.020764,0.596942,-1.021204,-1.336207
deux,1.457043,0.162876,-0.553312,-2.110675,0.103562,-0.133519,0.415674,-0.687845,-1.499685
fonction,0.918044,-0.060709,0.80211,-2.088726,-0.657616,1.383775,0.728988,-0.416281,0.061805
premier,1.347703,0.902952,-0.021695,-1.162462,-0.020522,0.097388,0.680459,-1.201708,-1.513692
ensemble,0.924498,0.532708,0.247563,-2.013495,0.29538,0.457535,-0.336029,-0.710559,-0.469686
point,0.392799,0.154235,0.299823,-2.01125,0.530627,0.037562,0.695926,0.314189,-1.752784
théorie,-0.481255,0.15776,0.668801,-1.186006,-0.960415,2.517047,-0.958868,-1.220738,0.632064
exemple,0.037704,0.237152,-0.113681,-2.463319,-0.038268,1.219316,-0.54472,-0.618726,-0.185955
espace,0.787922,0.211316,0.613701,-2.555016,0.400816,0.160429,-0.94044,-0.356786,0.20566
théorème,-1.072682,-1.567681,0.44935,-0.258703,-1.415831,1.865187,-0.72286,1.178871,0.559742
problème,-0.345655,0.02649,0.378504,-2.194953,-0.955624,1.361419,0.620525,-0.922716,-0.455487
valeur,0.146914,0.044029,0.566607,-2.525722,0.313484,2.006619,-0.056598,-0.182226,-0.141809
groupe,-0.133577,1.005744,0.62953,-1.383445,0.186267,-0.334516,0.648589,-1.185433,-1.240096
graphe,-1.025927,-0.977583,0.541436,-1.464691,0.9328,0.869647,-1.089461,1.278917,1.487433
forme,0.491841,0.082987,-0.880281,-2.660003,0.486556,0.863561,-1.014826,-0.356347,-0.220101
entier,0.320267,0.346032,-0.299193,-1.948197,0.283438,0.831636,-0.212614,-0.508463,-0.372458
système,-0.298746,0.580923,0.882082,-3.064128,-0.552852,0.789449,0.308662,0.136607,0.129449
équation,-0.709243,-1.319301,0.260191,-1.26171,-1.531852,2.31237,-0.926019,1.390443,0.093634
suite,0.776286,0.512734,-0.200625,-1.07995,-0.408709,0.642649,1.080087,-1.035361,-1.242673
algorithme,-1.584403,-1.073959,1.048065,-1.619297,-0.520225,0.777362,-0.815306,0.769691,0.711273
calcul,-0.578034,-0.657067,1.151258,-2.281426,-0.550024,1.893912,-0.392691,0.821731,0.097542
application,-0.511078,0.671876,1.893971,-2.517,-1.092233,1.216464,-0.115215,0.268349,0.113573
élément,0.335517,0.086922,-0.235188,-2.51116,0.165969,1.35748,-0.856132,-0.215086,0.012325
grand,1.780385,0.785138,-0.663351,-1.584935,0.329888,-0.161502,0.13156,-1.189729,-0.758743
propriété,1.240189,0.449631,-0.274946,-1.786429,-1.193189,0.98283,-0.146865,-0.033452,0.741315
ordre,1.743876,0.540654,-0.551884,-0.652488,-0.170894,1.320109,0.922171,-0.743217,-0.36877
variable,-0.675639,0.013153,0.076619,-2.909008,0.125319,1.209149,-0.682292,0.941699,-0.206679
base,0.446416,0.974376,-0.048118,-2.393941,-0.09844,0.436704,-0.161279,0.223645,-0.121535
géométrie,-0.432309,-0.928655,0.747752,-1.517057,-0.109708,1.503758,-1.550139,0.785423,1.09214
analyse,-0.225061,0.385631,1.203567,-1.660843,-0.608934,1.904088,-1.068789,-0.91652,0.111294
loi,0.773142,0.540048,0.856581,-1.033137,-1.012749,2.050724,1.344863,-0.743515,-0.40723
définition,-0.401477,0.187865,1.133777,-2.191342,0.260086,2.078441,-0.532484,-0.200096,0.242396
réel,-0.553502,-0.11948,0.515937,-2.275753,-0.339779,1.389222,-0.299004,-1.145065,-0.721608
